score,time,action
19-16,P2 06:40:00,"10, DAIANA CARTRO, Sustitución (ingresa)"
19-16,P2 06:40:00,"20, AGUSTINA ACEREDO, Sustitución (sale)"
19-16,P2 06:40:00,"10, RAPHAELLA MARCIANO DA SILVA, Sustitución (ingresa)"
19-16,P2 06:24:00,"11, SABINA BELLO, 3pt"
19-16,P2 06:22:00,"15, FLORENCIA SOMMA, Rebote ofensivo"
19-16,P2 06:16:00,"10, DAIANA CARTRO, Falta personal"
19-16,P2 06:16:00,"10, RAPHAELLA MARCIANO DA SILVA, Falta recibida"
19-16,P2 06:16:00,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 1 de 2"
19-17,,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 2 de 2  convertido"
19-17,P2 06:06:00,"27, ROMINA DALESANDRO, Pérdida caminar"
19-17,P2 05:47:00,"8, CAROLINA FERNANDEZ, 3pt"
19-17,P2 05:45:00,"10, DAIANA CARTRO, Rebote defensivo"
19-17,P2 05:44:00,"10, DAIANA CARTRO, Pérdida mal pase"
19-17,P2 05:40:00,"4, FERNANDA MIDAGLIA DE LEON, Pérdida caminar"
21-17,,"14, MARTINA MARIÑO, 2pt jumpshot  convertido"
21-17,P2 05:05:00,"11, SABINA BELLO, Pérdida mal pase"
21-17,P2 05:05:00,"14, MARTINA MARIÑO, Recupero"
21-17,P2 05:03:00,"11, SABINA BELLO, Falta personal"
21-17,P2 05:03:00,"9, JOAQUINA GREGORIO, Falta recibida"
21-17,P2 04:46:00,"27, ROMINA DALESANDRO, 3pt"
21-17,P2 04:44:00,"14, MARTINA MARIÑO, Rebote ofensivo"
21-17,P2 04:43:00,"14, MARTINA MARIÑO, 2pt jumpshot"
21-17,P2 04:41:00,Rebote ofensivo
21-17,P2 04:38:00,"11, SABINA BELLO, Sustitución (sale)"
21-17,P2 04:38:00,"5, FIORELLA MARTINELLI, Sustitución (ingresa)"
21-17,P2 04:35:00,"14, MARTINA MARIÑO, 2pt jumpshot"
21-17,P2 04:32:00,"10, RAPHAELLA MARCIANO DA SILVA, Rebote defensivo"
21-17,P2 04:24:00,"5, FIORELLA MARTINELLI, 3pt"
21-17,P2 04:21:00,"6, ANA CLARA PAZ, Rebote defensivo"
21-17,P2 04:04:00,"9, JOAQUINA GREGORIO, 3pt"
21-17,P2 04:02:00,"8, CAROLINA FERNANDEZ, Rebote defensivo"
21-17,P2 03:53:00,"10, RAPHAELLA MARCIANO DA SILVA, 2pt jumpshot"
21-17,P2 03:51:00,"6, ANA CLARA PAZ, Rebote defensivo"
21-17,P2 03:35:00,"9, JOAQUINA GREGORIO, 3pt"
21-17,P2 03:33:00,"10, RAPHAELLA MARCIANO DA SILVA, Rebote defensivo"
21-17,P2 03:24:00,"15, FLORENCIA SOMMA, Pérdida manejo de balón"
21-17,P2 03:24:00,"14, MARTINA MARIÑO, Recupero"
21-17,P2 03:16:00,"14, MARTINA MARIÑO, 2pt jumpshot"
21-17,P2 03:16:00,"15, FLORENCIA SOMMA, Bloqueo"
21-17,P2 03:16:00,Rebote ofensivo
21-17,P2 03:05:00,"6, ANA CLARA PAZ, 3pt"
21-17,P2 03:03:00,"27, ROMINA DALESANDRO, Rebote ofensivo"
23-17,,"27, ROMINA DALESANDRO, 2pt bandeja  convertido"
23-17,P2 02:55:00,"14, MARTINA MARIÑO, Asistencia"
23-17,P2 02:55:00,Tiempo muerto completo
23-19,,"4, FERNANDA MIDAGLIA DE LEON, 2pt bandeja  convertido"
23-19,P2 02:36:00,"15, FLORENCIA SOMMA, Asistencia"
23-19,P2 02:36:00,"14, MARTINA MARIÑO, Falta personal"
23-19,P2 02:36:00,"4, FERNANDA MIDAGLIA DE LEON, Falta recibida"
23-20,,"4, FERNANDA MIDAGLIA DE LEON, Lanzamiento libre 1 de 1  convertido"
23-20,P2 02:30:00,"8, CAROLINA FERNANDEZ, Falta personal"
23-20,P2 02:30:00,"6, ANA CLARA PAZ, Falta recibida"
23-20,P2 02:30:00,"6, ANA CLARA PAZ, Lanzamiento libre 1 de 2"
24-20,,"6, ANA CLARA PAZ, Lanzamiento libre 2 de 2  convertido"
24-20,P2 02:14:00,"8, CAROLINA FERNANDEZ, Pérdida mal pase"
24-20,P2 02:03:00,"8, CAROLINA FERNANDEZ, Sustitución (sale)"
24-20,P2 02:03:00,"14, EMILIA LARRE BORGES, Sustitución (ingresa)"
24-20,P2 02:03:00,Tiempo muerto completo
24-20,P2 01:57:00,"9, JOAQUINA GREGORIO, 3pt"
24-20,P2 01:55:00,"5, FIORELLA MARTINELLI, Rebote defensivo"
24-20,P2 01:45:00,"14, EMILIA LARRE BORGES, Pérdida mal pase"
24-20,P2 01:45:00,"9, JOAQUINA GREGORIO, Recupero"
24-20,P2 01:24:00,"15, FLORENCIA SOMMA, Falta personal"
24-20,P2 01:24:00,"9, JOAQUINA GREGORIO, Falta recibida"
25-20,,"9, JOAQUINA GREGORIO, Lanzamiento libre 1 de 2  convertido"
26-20,,"9, JOAQUINA GREGORIO, Lanzamiento libre 2 de 2  convertido"
26-23,,"5, FIORELLA MARTINELLI, 3pt  convertido"
26-23,P2 01:08:00,"4, FERNANDA MIDAGLIA DE LEON, Asistencia"
26-23,P2 00:44:20,"6, ANA CLARA PAZ, 2pt jumpshot"
26-23,P2 00:42:00,"14, EMILIA LARRE BORGES, Rebote defensivo"
26-23,P2 00:37:00,"10, RAPHAELLA MARCIANO DA SILVA, 2pt jumpshot"
26-23,P2 00:37:00,"10, DAIANA CARTRO, Bloqueo"
26-23,P2 00:34:10,"10, DAIANA CARTRO, Rebote defensivo"
26-23,P2 00:23:70,"10, DAIANA CARTRO, 2pt jumpshot"
26-23,P2 00:21:60,"15, FLORENCIA SOMMA, Rebote defensivo"
26-23,P2 00:15:50,Falta técnica a la banca
26-24,,"15, FLORENCIA SOMMA, Lanzamiento libre 1 de 1  convertido"
26-27,,"5, FIORELLA MARTINELLI, 3pt  convertido"
26-27,P2 00:02:60,"4, FERNANDA MIDAGLIA DE LEON, Asistencia"
26-27,P2 00:02:60,Tiempo muerto completo
26-27,P2 00:02:60,"10, DAIANA CARTRO, Sustitución (sale)"
26-27,P2 00:02:60,"3, SOFIA BERGDAHL, Sustitución (ingresa)"
26-27,P2 00:02:60,"10, RAPHAELLA MARCIANO DA SILVA, Sustitución (sale)"
26-27,P2 00:02:60,"15, FLORENCIA SOMMA, Sustitución (sale)"
26-27,P2 00:02:60,"7, FLORENCIA FERNANDEZ, Sustitución (ingresa)"
26-27,P2 00:02:60,"32, PAULA FERNANDEZ, Sustitución (ingresa)"
26-27,,Fin del período
26-27,P3 10:00:00,"14, MARTINA MARIÑO, Sustitución (sale)"
26-27,P3 10:00:00,"27, ROMINA DALESANDRO, Sustitución (sale)"
26-27,P3 10:00:00,"21, NATASHA DOLINSKY, Sustitución (ingresa)"
26-27,P3 10:00:00,"30, ABRIL MIERES, Sustitución (ingresa)"
26-27,P3 10:00:00,"7, FLORENCIA FERNANDEZ, Sustitución (sale)"
26-27,P3 10:00:00,"32, PAULA FERNANDEZ, Sustitución (sale)"
26-27,P3 10:00:00,"10, RAPHAELLA MARCIANO DA SILVA, Sustitución (ingresa)"
26-27,P3 10:00:00,"15, FLORENCIA SOMMA, Sustitución (ingresa)"
26-27,,Inicio del período
29-27,,"9, JOAQUINA GREGORIO, 3pt  convertido"
29-27,P3 09:48:00,"6, ANA CLARA PAZ, Asistencia"
29-27,P3 09:23:00,"4, FERNANDA MIDAGLIA DE LEON, 2pt jumpshot"
29-27,P3 09:20:00,"30, ABRIL MIERES, Rebote defensivo"
29-27,P3 09:04:00,"6, ANA CLARA PAZ, Pérdida mal pase"
29-27,P3 09:04:00,"15, FLORENCIA SOMMA, Recupero"
29-27,P3 08:59:00,"6, ANA CLARA PAZ, Falta personal"
29-27,P3 08:59:00,"5, FIORELLA MARTINELLI, Falta recibida"
29-27,P3 08:59:00,"5, FIORELLA MARTINELLI, Lanzamiento libre 1 de 2"
29-28,,"5, FIORELLA MARTINELLI, Lanzamiento libre 2 de 2  convertido"
29-28,P3 08:59:00,"15, FLORENCIA SOMMA, Asistencia"
29-28,P3 08:43:00,"6, ANA CLARA PAZ, 3pt"
29-28,P3 08:41:00,"14, EMILIA LARRE BORGES, Rebote defensivo"
29-28,P3 08:35:00,"5, FIORELLA MARTINELLI, 3pt"
29-28,P3 08:33:00,Rebote defensivo
29-28,P3 08:23:00,"21, NATASHA DOLINSKY, 3pt"
29-28,P3 08:21:00,"14, EMILIA LARRE BORGES, Rebote defensivo"
29-28,P3 08:11:00,"4, FERNANDA MIDAGLIA DE LEON, 2pt jumpshot"
29-28,P3 08:09:00,"21, NATASHA DOLINSKY, Rebote defensivo"
32-28,,"9, JOAQUINA GREGORIO, 3pt  convertido"
32-28,P3 07:51:00,"6, ANA CLARA PAZ, Asistencia"
32-30,,"15, FLORENCIA SOMMA, 2pt bandeja  convertido"
32-30,P3 07:04:00,"21, NATASHA DOLINSKY, 3pt"
32-30,P3 07:01:00,"14, EMILIA LARRE BORGES, Rebote defensivo"
32-30,P3 06:51:00,"14, EMILIA LARRE BORGES, 2pt jumpshot"
32-30,P3 06:48:00,"5, FIORELLA MARTINELLI, Rebote ofensivo"
32-30,P3 06:47:00,"5, FIORELLA MARTINELLI, Pérdida mal pase"
32-30,P3 06:47:00,"3, SOFIA BERGDAHL, Recupero"
32-30,P3 06:38:00,"4, FERNANDA MIDAGLIA DE LEON, Falta personal"
32-30,P3 06:38:00,"9, JOAQUINA GREGORIO, Falta recibida"
32-30,P3 06:28:00,"3, SOFIA BERGDAHL, 3pt"
32-30,P3 06:27:00,Rebote ofensivo
32-30,P3 06:11:00,"9, JOAQUINA GREGORIO, 3pt"
32-30,P3 06:09:00,"9, JOAQUINA GREGORIO, Rebote ofensivo"
34-30,,"9, JOAQUINA GREGORIO, 2pt bandeja  convertido"
34-30,P3 05:52:00,"30, ABRIL MIERES, Falta personal"
34-30,P3 05:52:00,"10, RAPHAELLA MARCIANO DA SILVA, Falta recibida"
34-31,,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 1 de 2  convertido"
34-31,P3 05:52:00,"4, FERNANDA MIDAGLIA DE LEON, Asistencia"
34-31,P3 05:52:00,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 2 de 2"
34-31,P3 05:52:00,"14, EMILIA LARRE BORGES, Rebote ofensivo"
34-31,P3 05:48:00,"30, ABRIL MIERES, Falta personal"
34-31,P3 05:48:00,"10, RAPHAELLA MARCIANO DA SILVA, Falta recibida"
34-31,P3 05:48:00,"30, ABRIL MIERES, Sustitución (sale)"
34-31,P3 05:48:00,"10, DAIANA CARTRO, Sustitución (ingresa)"
